('Anthropology', 'Physics', 'Arts', 'Cognitive Science'),0
('Anthropology', 'Physics', 'Arts', 'Biology'),0
('Anthropology', 'Physics', 'Arts', 'Education'),0
('Anthropology', 'Physics', 'Arts', 'Computer Science'),0
('Anthropology', 'Physics', 'Mathematics', 'Cognitive Science'),0
('Anthropology', 'Physics', 'Mathematics', 'Biology'),0
('Anthropology', 'Physics', 'Mathematics', 'Education'),0
('Anthropology', 'Physics', 'Mathematics', 'Computer Science'),0
('Anthropology', 'Physics', 'Cognitive Science', 'Biology'),0
('Anthropology', 'Physics', 'Cognitive Science', 'Education'),0
('Anthropology', 'Physics', 'Cognitive Science', 'Computer Science'),0
('Anthropology', 'Physics', 'Biology', 'Education'),0
('Anthropology', 'Physics', 'Biology', 'Computer Science'),0
('Anthropology', 'Physics', 'Education', 'Computer Science'),0
('Anthropology', 'Linguistics', 'Arts', 'Mathematics'),0
('Anthropology', 'Linguistics', 'Arts', 'Cognitive Science'),0
('Anthropology', 'Linguistics', 'Arts', 'Biology'),0
('Anthropology', 'Linguistics', 'Arts', 'Education'),0
('Anthropology', 'Linguistics', 'Arts', 'Computer Science'),0
('Anthropology', 'Linguistics', 'Mathematics', 'Cognitive Science'),0
('Anthropology', 'Linguistics', 'Mathematics', 'Biology'),0
('Anthropology', 'Linguistics', 'Mathematics', 'Education'),0
('Anthropology', 'Linguistics', 'Mathematics', 'Computer Science'),0
('Anthropology', 'Linguistics', 'Cognitive Science', 'Biology'),0
('Anthropology', 'Linguistics', 'Cognitive Science', 'Education'),0
('Anthropology', 'Linguistics', 'Cognitive Science', 'Computer Science'),0
('Anthropology', 'Linguistics', 'Biology', 'Education'),0
('Anthropology', 'Linguistics', 'Biology', 'Computer Science'),0
('Anthropology', 'Linguistics', 'Education', 'Computer Science'),0
('Anthropology', 'Arts', 'Mathematics', 'Cognitive Science'),0
('Anthropology', 'Arts', 'Mathematics', 'Biology'),0
('Anthropology', 'Arts', 'Mathematics', 'Education'),0
('Anthropology', 'Arts', 'Mathematics', 'Computer Science'),0
('Anthropology', 'Arts', 'Cognitive Science', 'Biology'),0
('Anthropology', 'Arts', 'Cognitive Science', 'Education'),0
('Anthropology', 'Arts', 'Cognitive Science', 'Computer Science'),0
('Anthropology', 'Arts', 'Biology', 'Education'),0
('Anthropology', 'Arts', 'Biology', 'Computer Science'),0
('Anthropology', 'Arts', 'Education', 'Computer Science'),0
('Anthropology', 'Mathematics', 'Cognitive Science', 'Biology'),0
('Anthropology', 'Mathematics', 'Cognitive Science', 'Education'),0
('Anthropology', 'Mathematics', 'Cognitive Science', 'Computer Science'),0
('Anthropology', 'Mathematics', 'Biology', 'Education'),0
('Anthropology', 'Mathematics', 'Biology', 'Computer Science'),0
('Anthropology', 'Mathematics', 'Education', 'Computer Science'),0
('Anthropology', 'Cognitive Science', 'Biology', 'Education'),0
('Anthropology', 'Cognitive Science', 'Biology', 'Computer Science'),0
('Anthropology', 'Cognitive Science', 'Education', 'Computer Science'),0
('Anthropology', 'Biology', 'Education', 'Computer Science'),0
('Physics', 'Linguistics', 'Arts', 'Mathematics'),0
('Physics', 'Linguistics', 'Arts', 'Cognitive Science'),0
('Physics', 'Linguistics', 'Arts', 'Biology'),0
('Physics', 'Linguistics', 'Arts', 'Education'),0
('Physics', 'Linguistics', 'Arts', 'Computer Science'),0
('Physics', 'Linguistics', 'Mathematics', 'Cognitive Science'),0
('Physics', 'Linguistics', 'Mathematics', 'Biology'),0
('Physics', 'Linguistics', 'Mathematics', 'Education'),0
('Physics', 'Linguistics', 'Mathematics', 'Computer Science'),0
('Physics', 'Linguistics', 'Cognitive Science', 'Biology'),0
('Physics', 'Linguistics', 'Cognitive Science', 'Education'),0
('Physics', 'Linguistics', 'Cognitive Science', 'Computer Science'),0
('Physics', 'Linguistics', 'Biology', 'Education'),0
('Physics', 'Linguistics', 'Biology', 'Computer Science'),0
('Physics', 'Linguistics', 'Education', 'Computer Science'),0
('Physics', 'Arts', 'Mathematics', 'Cognitive Science'),0
('Physics', 'Arts', 'Mathematics', 'Biology'),1
('Physics', 'Arts', 'Mathematics', 'Education'),0
('Physics', 'Arts', 'Mathematics', 'Computer Science'),0
('Physics', 'Arts', 'Cognitive Science', 'Biology'),0
('Physics', 'Arts', 'Cognitive Science', 'Education'),0
('Physics', 'Arts', 'Cognitive Science', 'Computer Science'),0
('Physics', 'Arts', 'Biology', 'Education'),0
('Physics', 'Arts', 'Biology', 'Computer Science'),0
('Physics', 'Arts', 'Education', 'Computer Science'),0
('Physics', 'Mathematics', 'Cognitive Science', 'Biology'),0
('Physics', 'Mathematics', 'Cognitive Science', 'Education'),0
('Physics', 'Mathematics', 'Cognitive Science', 'Computer Science'),0
('Physics', 'Mathematics', 'Biology', 'Education'),0
('Physics', 'Mathematics', 'Biology', 'Computer Science'),0
('Physics', 'Mathematics', 'Education', 'Computer Science'),0
('Physics', 'Cognitive Science', 'Biology', 'Education'),0
('Physics', 'Cognitive Science', 'Biology', 'Computer Science'),0
('Physics', 'Cognitive Science', 'Education', 'Computer Science'),0
('Physics', 'Biology', 'Education', 'Computer Science'),0
('Linguistics', 'Arts', 'Mathematics', 'Cognitive Science'),0
('Linguistics', 'Arts', 'Mathematics', 'Biology'),0
('Linguistics', 'Arts', 'Mathematics', 'Education'),0
('Linguistics', 'Arts', 'Mathematics', 'Computer Science'),0
('Linguistics', 'Arts', 'Cognitive Science', 'Biology'),0
('Linguistics', 'Arts', 'Cognitive Science', 'Education'),0
('Linguistics', 'Arts', 'Cognitive Science', 'Computer Science'),0
('Linguistics', 'Arts', 'Biology', 'Education'),0
('Linguistics', 'Arts', 'Biology', 'Computer Science'),0
('Linguistics', 'Arts', 'Education', 'Computer Science'),0
('Linguistics', 'Mathematics', 'Cognitive Science', 'Biology'),0
('Linguistics', 'Mathematics', 'Cognitive Science', 'Education'),0
('Linguistics', 'Mathematics', 'Cognitive Science', 'Computer Science'),0
('Linguistics', 'Mathematics', 'Biology', 'Education'),0
('Linguistics', 'Mathematics', 'Biology', 'Computer Science'),0
('Linguistics', 'Mathematics', 'Education', 'Computer Science'),0
('Linguistics', 'Cognitive Science', 'Biology', 'Education'),0
('Linguistics', 'Cognitive Science', 'Biology', 'Computer Science'),0
('Linguistics', 'Cognitive Science', 'Education', 'Computer Science'),0
('Linguistics', 'Biology', 'Education', 'Computer Science'),0
('Arts', 'Mathematics', 'Cognitive Science', 'Biology'),0
('Arts', 'Mathematics', 'Cognitive Science', 'Education'),0
('Arts', 'Mathematics', 'Cognitive Science', 'Computer Science'),0
('Arts', 'Mathematics', 'Biology', 'Education'),0
('Arts', 'Mathematics', 'Biology', 'Computer Science'),0
('Arts', 'Mathematics', 'Education', 'Computer Science'),0
('Arts', 'Cognitive Science', 'Biology', 'Education'),0
('Arts', 'Cognitive Science', 'Biology', 'Computer Science'),0
('Arts', 'Cognitive Science', 'Education', 'Computer Science'),0
('Arts', 'Biology', 'Education', 'Computer Science'),0
('Mathematics', 'Cognitive Science', 'Biology', 'Education'),0
('Mathematics', 'Cognitive Science', 'Biology', 'Computer Science'),0
('Mathematics', 'Cognitive Science', 'Education', 'Computer Science'),1
('Mathematics', 'Biology', 'Education', 'Computer Science'),0
('Cognitive Science', 'Biology', 'Education', 'Computer Science'),0
