('Anthropology', 'Physics', 'Cognitive Science', 'Computer Science'),1
('Anthropology', 'Physics', 'Biology', 'Education'),1
('Anthropology', 'Physics', 'Biology', 'Computer Science'),1
('Anthropology', 'Physics', 'Education', 'Computer Science'),1
('Anthropology', 'Linguistics', 'Arts', 'Mathematics'),2
('Anthropology', 'Linguistics', 'Arts', 'Cognitive Science'),1
('Anthropology', 'Linguistics', 'Arts', 'Biology'),1
('Anthropology', 'Linguistics', 'Arts', 'Education'),1
('Anthropology', 'Linguistics', 'Arts', 'Computer Science'),2
('Anthropology', 'Linguistics', 'Mathematics', 'Cognitive Science'),1
('Anthropology', 'Linguistics', 'Mathematics', 'Biology'),1
('Anthropology', 'Linguistics', 'Mathematics', 'Education'),1
('Anthropology', 'Linguistics', 'Mathematics', 'Computer Science'),2
('Anthropology', 'Linguistics', 'Cognitive Science', 'Biology'),1
('Anthropology', 'Linguistics', 'Cognitive Science', 'Education'),1
('Anthropology', 'Linguistics', 'Cognitive Science', 'Computer Science'),1
('Anthropology', 'Linguistics', 'Biology', 'Education'),1
('Anthropology', 'Linguistics', 'Biology', 'Computer Science'),1
('Anthropology', 'Linguistics', 'Education', 'Computer Science'),1
('Anthropology', 'Arts', 'Mathematics', 'Cognitive Science'),1
('Anthropology', 'Arts', 'Mathematics', 'Biology'),1
('Anthropology', 'Arts', 'Mathematics', 'Education'),1
('Anthropology', 'Arts', 'Mathematics', 'Computer Science'),2
('Anthropology', 'Arts', 'Cognitive Science', 'Biology'),1
('Anthropology', 'Arts', 'Cognitive Science', 'Education'),1
('Anthropology', 'Arts', 'Cognitive Science', 'Computer Science'),1
('Anthropology', 'Arts', 'Biology', 'Education'),1
('Anthropology', 'Arts', 'Biology', 'Computer Science'),1
('Anthropology', 'Arts', 'Education', 'Computer Science'),1
('Anthropology', 'Mathematics', 'Cognitive Science', 'Biology'),1
('Anthropology', 'Mathematics', 'Cognitive Science', 'Education'),1
('Anthropology', 'Mathematics', 'Cognitive Science', 'Computer Science'),1
('Anthropology', 'Mathematics', 'Biology', 'Education'),1
('Anthropology', 'Mathematics', 'Biology', 'Computer Science'),1
('Anthropology', 'Mathematics', 'Education', 'Computer Science'),1
('Anthropology', 'Cognitive Science', 'Biology', 'Education'),1
('Anthropology', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Anthropology', 'Cognitive Science', 'Education', 'Computer Science'),1
('Anthropology', 'Biology', 'Education', 'Computer Science'),1
('Physics', 'Linguistics', 'Arts', 'Mathematics'),3
('Physics', 'Linguistics', 'Arts', 'Cognitive Science'),2
('Physics', 'Linguistics', 'Arts', 'Biology'),1
('Physics', 'Linguistics', 'Arts', 'Education'),2
('Physics', 'Linguistics', 'Arts', 'Computer Science'),3
('Physics', 'Linguistics', 'Mathematics', 'Cognitive Science'),2
('Physics', 'Linguistics', 'Mathematics', 'Biology'),1
('Physics', 'Linguistics', 'Mathematics', 'Education'),2
('Physics', 'Linguistics', 'Mathematics', 'Computer Science'),3
('Physics', 'Linguistics', 'Cognitive Science', 'Biology'),1
('Physics', 'Linguistics', 'Cognitive Science', 'Education'),2
('Physics', 'Linguistics', 'Cognitive Science', 'Computer Science'),2
('Physics', 'Linguistics', 'Biology', 'Education'),1
('Physics', 'Linguistics', 'Biology', 'Computer Science'),1
('Physics', 'Linguistics', 'Education', 'Computer Science'),2
('Physics', 'Arts', 'Mathematics', 'Cognitive Science'),2
('Physics', 'Arts', 'Mathematics', 'Biology'),3
('Physics', 'Arts', 'Mathematics', 'Education'),3
('Physics', 'Arts', 'Mathematics', 'Computer Science'),5
('Physics', 'Arts', 'Cognitive Science', 'Biology'),1
('Physics', 'Arts', 'Cognitive Science', 'Education'),2
('Physics', 'Arts', 'Cognitive Science', 'Computer Science'),2
('Physics', 'Arts', 'Biology', 'Education'),2
('Physics', 'Arts', 'Biology', 'Computer Science'),3
('Physics', 'Arts', 'Education', 'Computer Science'),3
('Physics', 'Mathematics', 'Cognitive Science', 'Biology'),2
('Physics', 'Mathematics', 'Cognitive Science', 'Education'),2
('Physics', 'Mathematics', 'Cognitive Science', 'Computer Science'),3
('Physics', 'Mathematics', 'Biology', 'Education'),2
('Physics', 'Mathematics', 'Biology', 'Computer Science'),4
('Physics', 'Mathematics', 'Education', 'Computer Science'),3
('Physics', 'Cognitive Science', 'Biology', 'Education'),1
('Physics', 'Cognitive Science', 'Biology', 'Computer Science'),2
('Physics', 'Cognitive Science', 'Education', 'Computer Science'),2
('Physics', 'Biology', 'Education', 'Computer Science'),2
('Linguistics', 'Arts', 'Mathematics', 'Cognitive Science'),3
('Linguistics', 'Arts', 'Mathematics', 'Biology'),2
('Linguistics', 'Arts', 'Mathematics', 'Education'),2
('Linguistics', 'Arts', 'Mathematics', 'Computer Science'),3
('Linguistics', 'Arts', 'Cognitive Science', 'Biology'),2
('Linguistics', 'Arts', 'Cognitive Science', 'Education'),2
('Linguistics', 'Arts', 'Cognitive Science', 'Computer Science'),2
('Linguistics', 'Arts', 'Biology', 'Education'),1
('Linguistics', 'Arts', 'Biology', 'Computer Science'),1
('Linguistics', 'Arts', 'Education', 'Computer Science'),2
('Linguistics', 'Mathematics', 'Cognitive Science', 'Biology'),2
('Linguistics', 'Mathematics', 'Cognitive Science', 'Education'),3
('Linguistics', 'Mathematics', 'Cognitive Science', 'Computer Science'),4
('Linguistics', 'Mathematics', 'Biology', 'Education'),1
('Linguistics', 'Mathematics', 'Biology', 'Computer Science'),1
('Linguistics', 'Mathematics', 'Education', 'Computer Science'),3
('Linguistics', 'Cognitive Science', 'Biology', 'Education'),1
('Linguistics', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Linguistics', 'Cognitive Science', 'Education', 'Computer Science'),3
('Linguistics', 'Biology', 'Education', 'Computer Science'),1
('Arts', 'Mathematics', 'Cognitive Science', 'Biology'),2
('Arts', 'Mathematics', 'Cognitive Science', 'Education'),3
('Arts', 'Mathematics', 'Cognitive Science', 'Computer Science'),2
('Arts', 'Mathematics', 'Biology', 'Education'),3
('Arts', 'Mathematics', 'Biology', 'Computer Science'),3
('Arts', 'Mathematics', 'Education', 'Computer Science'),3
('Arts', 'Cognitive Science', 'Biology', 'Education'),1
('Arts', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Arts', 'Cognitive Science', 'Education', 'Computer Science'),2
('Arts', 'Biology', 'Education', 'Computer Science'),2
('Mathematics', 'Cognitive Science', 'Biology', 'Education'),1
('Mathematics', 'Cognitive Science', 'Biology', 'Computer Science'),2
('Mathematics', 'Cognitive Science', 'Education', 'Computer Science'),5
('Mathematics', 'Biology', 'Education', 'Computer Science'),2
('Cognitive Science', 'Biology', 'Education', 'Computer Science'),1
