('Philosophy', 'Anthropology', 'Linguistics', 'Cognitive Science', 'Education'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Cognitive Science', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Biology', 'Education'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Biology', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Education', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Arts', 'Mathematics', 'Cognitive Science'),1
('Philosophy', 'Anthropology', 'Arts', 'Mathematics', 'Biology'),1
('Philosophy', 'Anthropology', 'Arts', 'Mathematics', 'Education'),1
('Philosophy', 'Anthropology', 'Arts', 'Mathematics', 'Computer Science'),2
('Philosophy', 'Anthropology', 'Arts', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Anthropology', 'Arts', 'Cognitive Science', 'Education'),1
('Philosophy', 'Anthropology', 'Arts', 'Cognitive Science', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Arts', 'Biology', 'Education'),1
('Philosophy', 'Anthropology', 'Arts', 'Biology', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Arts', 'Education', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Mathematics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Anthropology', 'Mathematics', 'Cognitive Science', 'Education'),1
('Philosophy', 'Anthropology', 'Mathematics', 'Cognitive Science', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Mathematics', 'Biology', 'Education'),1
('Philosophy', 'Anthropology', 'Mathematics', 'Biology', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Mathematics', 'Education', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Cognitive Science', 'Biology', 'Education'),1
('Philosophy', 'Anthropology', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Cognitive Science', 'Education', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Biology', 'Education', 'Computer Science'),1
('Philosophy', 'Physics', 'Linguistics', 'Arts', 'Mathematics'),3
('Philosophy', 'Physics', 'Linguistics', 'Arts', 'Cognitive Science'),2
('Philosophy', 'Physics', 'Linguistics', 'Arts', 'Biology'),1
('Philosophy', 'Physics', 'Linguistics', 'Arts', 'Education'),2
('Philosophy', 'Physics', 'Linguistics', 'Arts', 'Computer Science'),3
('Philosophy', 'Physics', 'Linguistics', 'Mathematics', 'Cognitive Science'),2
('Philosophy', 'Physics', 'Linguistics', 'Mathematics', 'Biology'),1
('Philosophy', 'Physics', 'Linguistics', 'Mathematics', 'Education'),2
('Philosophy', 'Physics', 'Linguistics', 'Mathematics', 'Computer Science'),3
('Philosophy', 'Physics', 'Linguistics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Physics', 'Linguistics', 'Cognitive Science', 'Education'),2
('Philosophy', 'Physics', 'Linguistics', 'Cognitive Science', 'Computer Science'),2
('Philosophy', 'Physics', 'Linguistics', 'Biology', 'Education'),1
('Philosophy', 'Physics', 'Linguistics', 'Biology', 'Computer Science'),1
('Philosophy', 'Physics', 'Linguistics', 'Education', 'Computer Science'),2
('Philosophy', 'Physics', 'Arts', 'Mathematics', 'Cognitive Science'),2
('Philosophy', 'Physics', 'Arts', 'Mathematics', 'Biology'),3
('Philosophy', 'Physics', 'Arts', 'Mathematics', 'Education'),3
('Philosophy', 'Physics', 'Arts', 'Mathematics', 'Computer Science'),5
('Philosophy', 'Physics', 'Arts', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Physics', 'Arts', 'Cognitive Science', 'Education'),2
('Philosophy', 'Physics', 'Arts', 'Cognitive Science', 'Computer Science'),2
('Philosophy', 'Physics', 'Arts', 'Biology', 'Education'),2
('Philosophy', 'Physics', 'Arts', 'Biology', 'Computer Science'),3
('Philosophy', 'Physics', 'Arts', 'Education', 'Computer Science'),3
('Philosophy', 'Physics', 'Mathematics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Physics', 'Mathematics', 'Cognitive Science', 'Education'),2
('Philosophy', 'Physics', 'Mathematics', 'Cognitive Science', 'Computer Science'),2
('Philosophy', 'Physics', 'Mathematics', 'Biology', 'Education'),2
('Philosophy', 'Physics', 'Mathematics', 'Biology', 'Computer Science'),3
('Philosophy', 'Physics', 'Mathematics', 'Education', 'Computer Science'),3
('Philosophy', 'Physics', 'Cognitive Science', 'Biology', 'Education'),1
('Philosophy', 'Physics', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Philosophy', 'Physics', 'Cognitive Science', 'Education', 'Computer Science'),2
('Philosophy', 'Physics', 'Biology', 'Education', 'Computer Science'),2
('Philosophy', 'Linguistics', 'Arts', 'Mathematics', 'Cognitive Science'),2
('Philosophy', 'Linguistics', 'Arts', 'Mathematics', 'Biology'),1
('Philosophy', 'Linguistics', 'Arts', 'Mathematics', 'Education'),2
('Philosophy', 'Linguistics', 'Arts', 'Mathematics', 'Computer Science'),3
('Philosophy', 'Linguistics', 'Arts', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Linguistics', 'Arts', 'Cognitive Science', 'Education'),2
('Philosophy', 'Linguistics', 'Arts', 'Cognitive Science', 'Computer Science'),2
('Philosophy', 'Linguistics', 'Arts', 'Biology', 'Education'),1
('Philosophy', 'Linguistics', 'Arts', 'Biology', 'Computer Science'),1
('Philosophy', 'Linguistics', 'Arts', 'Education', 'Computer Science'),2
('Philosophy', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Education'),3
('Philosophy', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Computer Science'),4
('Philosophy', 'Linguistics', 'Mathematics', 'Biology', 'Education'),1
('Philosophy', 'Linguistics', 'Mathematics', 'Biology', 'Computer Science'),1
('Philosophy', 'Linguistics', 'Mathematics', 'Education', 'Computer Science'),3
('Philosophy', 'Linguistics', 'Cognitive Science', 'Biology', 'Education'),1
('Philosophy', 'Linguistics', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Philosophy', 'Linguistics', 'Cognitive Science', 'Education', 'Computer Science'),3
('Philosophy', 'Linguistics', 'Biology', 'Education', 'Computer Science'),1
('Philosophy', 'Arts', 'Mathematics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Arts', 'Mathematics', 'Cognitive Science', 'Education'),2
('Philosophy', 'Arts', 'Mathematics', 'Cognitive Science', 'Computer Science'),2
('Philosophy', 'Arts', 'Mathematics', 'Biology', 'Education'),2
('Philosophy', 'Arts', 'Mathematics', 'Biology', 'Computer Science'),3
('Philosophy', 'Arts', 'Mathematics', 'Education', 'Computer Science'),3
('Philosophy', 'Arts', 'Cognitive Science', 'Biology', 'Education'),1
('Philosophy', 'Arts', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Philosophy', 'Arts', 'Cognitive Science', 'Education', 'Computer Science'),2
('Philosophy', 'Arts', 'Biology', 'Education', 'Computer Science'),2
('Philosophy', 'Mathematics', 'Cognitive Science', 'Biology', 'Education'),1
('Philosophy', 'Mathematics', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Philosophy', 'Mathematics', 'Cognitive Science', 'Education', 'Computer Science'),3
('Philosophy', 'Mathematics', 'Biology', 'Education', 'Computer Science'),2
('Philosophy', 'Cognitive Science', 'Biology', 'Education', 'Computer Science'),1
('Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts'),2
('Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Mathematics'),2
('Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Cognitive Science'),1
('Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Biology'),1
('Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Education'),1
('Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Computer Science'),2
('Complexity', 'Anthropology', 'Physics', 'Arts', 'Mathematics'),2
('Complexity', 'Anthropology', 'Physics', 'Arts', 'Cognitive Science'),1
('Complexity', 'Anthropology', 'Physics', 'Arts', 'Biology'),1
('Complexity', 'Anthropology', 'Physics', 'Arts', 'Education'),1
('Complexity', 'Anthropology', 'Physics', 'Arts', 'Computer Science'),2
('Complexity', 'Anthropology', 'Physics', 'Mathematics', 'Cognitive Science'),1
('Complexity', 'Anthropology', 'Physics', 'Mathematics', 'Biology'),1
